0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/js/magnific-popup-options.js HTTP/1.1" 404 1158
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/js/main.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:45 +0700] "GET /GimAndFit/css/bootstrap.css.map HTTP/1.1" 200 71871
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:15:57 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21140
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:15:57 +0700] "GET /GimAndFit/home/img/img_1_square.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:15:58 +0700] "GET /GimAndFit/home/img/img_2_square.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:15:58 +0700] "GET /GimAndFit/home/img/img_3_square.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:15:58 +0700] "GET /GimAndFit/home/img/img_4_square.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:15:58 +0700] "GET /GimAndFit/home/img/person_3.jpg HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:15:58 +0700] "GET /GimAndFit/home/img/img_1_square.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:15:58 +0700] "GET /GimAndFit/home/img/person_2.jpg HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:15:58 +0700] "GET /GimAndFit/home/img/person_1.jpg HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:15:58 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:15:58 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:18:35 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21349
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:18:36 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:18:36 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:21:39 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21415
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:21:39 +0700] "GET /GimAndFit/img/logo.png HTTP/1.1" 200 106681
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:21:39 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:21:39 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:22:38 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21423
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:22:39 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:22:39 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:22:39 +0700] "GET /GimAndFit/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:22:56 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21423
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:22:57 +0700] "GET /GimAndFit/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:22:57 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:22:57 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:23:09 +0700] "GET /GimAndFit/home/about.html HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:23:12 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:23:12 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:34:17 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21464
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:34:17 +0700] "GET /GimAndFit/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:34:18 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:34:18 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:37:39 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21464
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:37:40 +0700] "GET /GimAndFit/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:37:41 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:37:41 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:42:24 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:42:24 +0700] "GET /GimAndFit/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:42:24 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:42:25 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:55:29 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21580
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:55:29 +0700] "GET /GimAndFit/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:55:29 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:55:29 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:56:55 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21572
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:56:55 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:56:55 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:56:55 +0700] "GET /GimAndFit/img/gym1.jpg HTTP/1.1" 200 10035
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:57:58 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21580
